DATAFLOW,LAST UPDATE,freq,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,UK,2015,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,UK,2016,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,UK,2017,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,UK,2018,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,UK,2019,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2004,341,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2005,315,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2006,351,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2007,420,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2008,371,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2009,325,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2010,521,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2011,543,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_OUT,CNT_SWP,MIO_TKM,AT,2012,523,
