DATAFLOW,LAST UPDATE,freq,unit,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2019,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2020,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2003,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2004,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2005,8,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2006,25,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2007,31,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2008,15,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2009,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2010,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2011,6,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2012,8,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2013,12,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2014,14,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2015,24,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2016,8,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2017,5,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2018,4,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2019,10,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2020,5,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2021,10,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2022,23,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SI,2023,21,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2003,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2004,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2005,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2006,16,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2007,12,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2008,9,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2009,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2010,16,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2011,10,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2012,18,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2013,10,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2014,104,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2015,224,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2016,162,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2017,213,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2018,185,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2019,137,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2020,30,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2021,31,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2022,71,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SK,2023,30,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2003,413,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2004,541,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2005,569,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2006,389,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2007,354,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2008,421,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2009,302,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2010,323,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2011,325,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2012,342,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2013,358,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2014,410,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2015,418,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2016,411,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2017,390,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2018,531,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2019,724,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2020,773,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2021,773,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2022,598,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,TR,2023,510,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BH,BG,2006,39,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BH,CZ,2004,10,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BH,TR,2015,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BH,TR,2016,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,AT,2018,3,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BE,2023,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2006,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2007,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2008,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2009,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2010,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2011,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BY,BG,2012,2,
